schema,table,column,position,data_type,nullable,default,comment
payroll,stg_imported_payroll,source_row_no,17,integer,YES,,
payroll,stg_imported_payroll,created_at,18,timestamp with time zone,YES,CURRENT_TIMESTAMP,
payroll,v_imported_payroll,id,1,bigint,YES,,
payroll,v_imported_payroll,numero_ligne,2,text,YES,,
payroll,v_imported_payroll,categorie_emploi,3,text,YES,,
payroll,v_imported_payroll,code_emploi,4,text,YES,,
payroll,v_imported_payroll,titre_emploi,5,text,YES,,
payroll,v_imported_payroll,date_paie,6,date,YES,,
payroll,v_imported_payroll,matricule,7,text,YES,,
payroll,v_imported_payroll,employe,8,text,YES,,
payroll,v_imported_payroll,categorie,9,text,YES,,
payroll,v_imported_payroll,code_paie,10,text,YES,,
payroll,v_imported_payroll,desc_code,11,text,YES,,
payroll,v_imported_payroll,poste_budgetaire,12,text,YES,,
payroll,v_imported_payroll,desc_poste,13,text,YES,,
payroll,v_imported_payroll,montant,14,numeric,YES,,
payroll,v_imported_payroll,part_employeur,15,text,YES,,
payroll,v_imported_payroll,mnt_cmb,16,text,YES,,
payroll,v_imported_payroll,source_file,17,text,YES,,
payroll,v_imported_payroll,source_row_number,18,integer,YES,,
payroll,v_imported_payroll,imported_at,19,timestamp without time zone,YES,,
payroll,v_imported_payroll_compat,matricule ,1,character varying(100),YES,,
payroll,v_imported_payroll_compat,employ̩ ,2,character varying(500),YES,,
payroll,v_imported_payroll_compat,date de paie ,3,date,YES,,
payroll,v_imported_payroll_compat,categorie de paie ,4,character varying(50),YES,,
payroll,v_imported_payroll_compat,montant ,5,numeric,YES,,
payroll,v_imported_payroll_compat,employee_id,6,integer,YES,,
payroll,v_imported_payroll_compat,transaction_id,7,bigint,YES,,
payroll,v_nouveaux_par_batch,batch_id,1,integer,YES,,
payroll,v_nouveaux_par_batch,pay_date,2,date,YES,,
payroll,v_nouveaux_par_batch,filename,3,character varying(500),YES,,
payroll,v_nouveaux_par_batch,employee_id,4,integer,YES,,
payroll,v_nouveaux_par_batch,matricule_norm,5,character varying(50),YES,,
payroll,v_nouveaux_par_batch,matricule_int,6,integer,YES,,
payroll,v_nouveaux_par_batch,nom_norm,7,character varying(255),YES,,
payroll,v_nouveaux_par_batch,prenom_norm,8,character varying(255),YES,,
payroll,v_nouveaux_par_batch,max_precedent,9,integer,YES,,
payroll,v_nouveaux_par_batch,max_actuel,10,integer,YES,,
payroll,v_nouveaux_par_batch,date_precedente,11,date,YES,,
payroll,v_nouveaux_par_batch,est_nouveau,12,boolean,YES,,
public,alembic_version,version_num,1,character varying(32),NO,,
reference,budget_posts,post_id,1,integer,NO,nextval('reference.budget_posts_post_id_seq'::regclass),
reference,budget_posts,code,2,text,NO,,
reference,budget_posts,description,3,text,YES,,
reference,budget_posts,category,4,text,YES,'general'::text,
reference,budget_posts,is_active,5,boolean,YES,true,
reference,budget_posts,created_at,6,timestamp with time zone,YES,now(),
reference,pay_code_mappings,mapping_id,1,integer,NO,nextval('reference.pay_code_mappings_mapping_id_seq'::regclass),
reference,pay_code_mappings,source_column_name,2,character varying(255),NO,,
reference,pay_code_mappings,source_value,3,character varying(255),YES,,
reference,pay_code_mappings,pay_code,4,character varying(20),NO,,
reference,pay_code_mappings,priority,5,integer,YES,100,
reference,pay_code_mappings,active,6,boolean,NO,true,
reference,pay_code_mappings,created_at,7,timestamp with time zone,NO,CURRENT_TIMESTAMP,
reference,pay_codes,pay_code_id,1,integer,NO,,
reference,pay_codes,pay_code,2,character varying(50),NO,,
reference,pay_codes,pay_code_desc,3,character varying(255),YES,,
reference,pay_codes,pay_code_type,4,character varying(20),YES,,
reference,pay_codes,is_active,5,boolean,YES,true,
reference,pay_codes,created_at,6,timestamp with time zone,YES,CURRENT_TIMESTAMP,
reference,sign_policies,policy_id,1,integer,NO,nextval('reference.sign_policies_policy_id_seq'::regclass),
reference,sign_policies,pay_code,2,character varying(20),NO,,
reference,sign_policies,employee_sign,3,smallint,NO,,
reference,sign_policies,employer_sign,4,smallint,NO,,
reference,sign_policies,description,5,text,YES,,
reference,sign_policies,active,6,boolean,NO,true,
reference,sign_policies,created_at,7,timestamp with time zone,NO,CURRENT_TIMESTAMP,
